"CMPLNT_NUM","ADDR_PCT_CD","BORO_NM","CMPLNT_FR_DT","CMPLNT_FR_TM","CMPLNT_TO_DT","CMPLNT_TO_TM","CRM_ATPT_CPTD_CD","HADEVELOPT","JURIS_DESC","KY_CD","LAW_CAT_CD","LOC_OF_OCCUR_DESC","OFNS_DESC","PARKS_NM","PD_CD","PD_DESC","PREM_TYP_DESC","RPT_DT","X_COORD_CD","Y_COORD_CD","Latitude","Longitude","Lat_Lon"
"309124629","60","BROOKLYN","07/05/2025","03:00:00","07/05/2025","03:15:00","COMPLETED","(null)","N.Y. POLICE DEPT","104","FELONY","(null)","RAPE","CONEY ISLAND BEACH & BOARDWALK","157","RAPE 1","PARK/PLAYGROUND","07/05/2025","990,784","149,362","40.57664597804","-73.97648039607","POINT (-73.9764803960699 40.5766459780433)"
"300687264","60","BROOKLYN","02/05/2025","17:27:00","02/05/2025","17:51:00","COMPLETED","(null)","N.Y. POLICE DEPT","104","FELONY","INSIDE","RAPE","(null)","157","RAPE 1","RESIDENCE - APT. HOUSE","02/06/2025","990,784","149,362","40.57664597804","-73.97648039607","POINT (-73.9764803960699 40.5766459780433)"
"317591271","60","BROOKLYN","10/01/2025","00:01:00","10/31/2025","23:59:00","COMPLETED","(null)","N.Y. POLICE DEPT","104","FELONY","INSIDE","RAPE","(null)","157","RAPE 1","RESIDENCE-HOUSE","12/16/2025","990,784","149,362","40.57664597804","-73.97648039607","POINT (-73.9764803960699 40.5766459780433)"
"311401365","60","BROOKLYN","05/10/2025","20:00:00","05/11/2025","02:00:00","COMPLETED","(null)","N.Y. POLICE DEPT","104","FELONY","INSIDE","RAPE","(null)","157","RAPE 1","RESIDENCE-HOUSE","08/18/2025","990,784","149,362","40.57664597804","-73.97648039607","POINT (-73.9764803960699 40.5766459780433)"
"311145543","60","BROOKLYN","07/26/2025","19:00:00","07/26/2025","20:00:00","COMPLETED","(null)","N.Y. POLICE DEPT","104","FELONY","INSIDE","RAPE","CONEY ISLAND BEACH & BOARDWALK","157","RAPE 1","OTHER","08/13/2025","990,784","149,362","40.57664597804","-73.97648039607","POINT (-73.9764803960699 40.5766459780433)"
"301804438","60","BROOKLYN","02/19/2025","00:00:00","02/26/2025","23:59:00","COMPLETED","(null)","N.Y. HOUSING POLICE","104","FELONY","INSIDE","RAPE","(null)","157","RAPE 1","RESIDENCE - PUBLIC HOUSING","02/27/2025","990,784","149,362","40.57664597804","-73.97648039607","POINT (-73.9764803960699 40.5766459780433)"
"315603793","60","BROOKLYN","09/15/2025","15:30:00","09/15/2025","16:00:00","COMPLETED","(null)","N.Y. POLICE DEPT","104","FELONY","(null)","RAPE","(null)","157","RAPE 1","STREET","11/05/2025","990,784","149,362","40.57664597804","-73.97648039607","POINT (-73.9764803960699 40.5766459780433)"
"317782216","60","BROOKLYN","12/13/2025","16:00:00","12/13/2025","18:00:00","COMPLETED","(null)","N.Y. POLICE DEPT","104","FELONY","INSIDE","RAPE","(null)","157","RAPE 1","RESIDENCE - APT. HOUSE","12/20/2025","990,784","149,362","40.57664597804","-73.97648039607","POINT (-73.9764803960699 40.5766459780433)"
"302843610","60","BROOKLYN","01/01/2019","12:00:00","12/31/2021","12:00:00","COMPLETED","(null)","N.Y. POLICE DEPT","104","FELONY","INSIDE","RAPE","(null)","157","RAPE 1","RESIDENCE - APT. HOUSE","03/08/2025","990,784","149,362","40.57664597804","-73.97648039607","POINT (-73.9764803960699 40.5766459780433)"
"305305489","60","BROOKLYN","04/23/2025","11:30:00","04/24/2025","17:09:00","COMPLETED","(null)","N.Y. POLICE DEPT","104","FELONY","INSIDE","RAPE","(null)","157","RAPE 1","RESIDENCE - APT. HOUSE","04/24/2025","990,784","149,362","40.57664597804","-73.97648039607","POINT (-73.9764803960699 40.5766459780433)"
"308737809","123","STATEN ISLAND","08/01/2024","22:00:00","04/20/2025","22:00:00","COMPLETED","(null)","N.Y. POLICE DEPT","104","FELONY","INSIDE","RAPE","(null)","157","RAPE 1","RESIDENCE-HOUSE","06/27/2025","914,803","125,922","40.51203825352","-74.24975495245","POINT (-74.2497549524458 40.5120382535219)"
"304783936","60","BROOKLYN","09/14/2024","00:00:00","09/20/2024","00:00:00","COMPLETED","(null)","N.Y. POLICE DEPT","104","FELONY","INSIDE","RAPE","(null)","157","RAPE 1","RESIDENCE - APT. HOUSE","04/15/2025","990,784","149,362","40.57664597804","-73.97648039607","POINT (-73.9764803960699 40.5766459780433)"
