"ADDR_PCT_CD","CMPLNT_NUM","BORO_NM","CMPLNT_FR_DT","CMPLNT_FR_TM","CRM_ATPT_CPTD_CD","LOC_OF_OCCUR_DESC","OFNS_DESC","PD_DESC","PREM_TYP_DESC","RPT_DT","X_COORD_CD","Y_COORD_CD","Latitude","Longitude","DAY_OF_WEEK","HOUR","TIME_OF_DAY","MONTH","SEASON","is_night","is_inside","is_completed","is_weekend","cluster"
1,311072027,"MANHATTAN","2025-08-02","03:30:00","COMPLETED","INSIDE","RAPE","RAPE 1","HOTEL/MOTEL","2025-08-10",982381,201750,40.72044188847,-74.00674397419,"Saturday",3,"Night",8,"Summer",1,1,1,1,4
1,300490469,"MANHATTAN","2023-12-05","17:00:00","COMPLETED","INSIDE","RAPE","RAPE 1","COMMERCIAL BUILDING","2025-02-03",982381,201750,40.72044188847,-74.00674397419,"Tuesday",17,"Evening",12,"Winter",0,1,1,0,4
1,300795840,"MANHATTAN","2024-01-15","12:00:00","COMPLETED","INSIDE","RAPE","RAPE 1","RESIDENCE-HOUSE","2025-02-08",982381,201750,40.72044188847,-74.00674397419,"Monday",12,"Afternoon",1,"Winter",0,1,1,0,4
1,302948981,"MANHATTAN","2025-02-16","05:40:00","COMPLETED","INSIDE","RAPE","RAPE 1","RESIDENCE - APT. HOUSE","2025-03-16",982381,201750,40.72044188847,-74.00674397419,"Sunday",5,"Night",2,"Winter",1,1,1,1,4
1,298803170,"MANHATTAN","2025-01-01","03:00:00","ATTEMPTED","FRONT OF","RAPE","RAPE 1","RESTAURANT/DINER","2025-01-02",982381,201750,40.72044188847,-74.00674397419,"Wednesday",3,"Night",1,"Winter",1,0,0,0,4
1,304058001,"MANHATTAN","2025-03-31","15:30:00","COMPLETED","UNKNOWN","RAPE","RAPE 1","STREET","2025-04-02",982381,201750,40.72044188847,-74.00674397419,"Monday",15,"Afternoon",3,"Spring",0,0,1,0,4
1,308229603,"MANHATTAN","2025-06-16","10:00:00","COMPLETED","INSIDE","RAPE","RAPE 1","RESIDENCE - APT. HOUSE","2025-06-17",982381,201750,40.72044188847,-74.00674397419,"Monday",10,"Morning",6,"Summer",0,1,1,0,4
1,317359957,"MANHATTAN","2025-11-19","19:00:00","COMPLETED","INSIDE","RAPE","RAPE 1","RESIDENCE - APT. HOUSE","2025-12-10",982381,201750,40.72044188847,-74.00674397419,"Wednesday",19,"Evening",11,"Fall",0,1,1,0,4
1,317673990,"MANHATTAN","2025-12-18","04:00:00","COMPLETED","INSIDE","RAPE","RAPE 1","RESIDENCE - APT. HOUSE","2025-12-18",982381,201750,40.72044188847,-74.00674397419,"Thursday",4,"Night",12,"Winter",1,1,1,0,4
1,303082359,"MANHATTAN","2025-03-18","03:00:00","COMPLETED","INSIDE","RAPE","RAPE 1","RESIDENCE - APT. HOUSE","2025-03-18",982381,201750,40.72044188847,-74.00674397419,"Tuesday",3,"Night",3,"Spring",1,1,1,0,4
